,Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,Opposition,Ground,Match Date
5,France,lost,17.0,18.0,-1.0,2,2,1,0,v South Africa,Stade de France,18 Nov 2017
6,France,lost,18.0,38.0,-20.0,2,0,2,0,v New Zealand,Stade de France,11 Nov 2017
7,France,lost,12.0,35.0,-23.0,0,0,4,0,v South Africa,Johannesburg,24 Jun 2017
8,France,lost,15.0,37.0,-22.0,2,1,1,0,v South Africa,Durban,17 Jun 2017
9,France,lost,14.0,37.0,-23.0,2,2,0,0,v South Africa,Pretoria,10 Jun 2017
10,France,won,20.0,18.0,2.0,2,2,2,0,v Wales,Stade de France,18 Mar 2017
11,France,won,40.0,18.0,22.0,4,4,4,0,v Italy,Rome,11 Mar 2017
12,France,lost,9.0,19.0,-10.0,0,0,3,0,v Ireland,Lansdowne Road,25 Feb 2017
13,France,won,22.0,16.0,6.0,1,1,5,0,v Scotland,Stade de France,12 Feb 2017
14,France,lost,16.0,19.0,-3.0,1,1,3,0,v England,Twickenham,4 Feb 2017
15,France,lost,19.0,24.0,-5.0,1,1,4,0,v New Zealand,Stade de France,26 Nov 2016
16,France,lost,23.0,25.0,-2.0,3,1,2,0,v Australia,Stade de France,19 Nov 2016
17,France,won,52.0,8.0,44.0,7,4,3,0,v Samoa,Toulouse,12 Nov 2016
18,France,won,27.0,0.0,27.0,3,3,2,0,v Argentina,Tucuman,25 Jun 2016
19,France,lost,19.0,30.0,-11.0,1,1,4,0,v Argentina,Tucuman,19 Jun 2016
20,France,lost,21.0,31.0,-10.0,0,0,7,0,v England,Stade de France,19 Mar 2016
21,France,lost,18.0,29.0,-11.0,2,1,2,0,v Scotland,Murrayfield,13 Mar 2016
22,France,lost,10.0,19.0,-9.0,1,1,1,0,v Wales,Millennium Stadium,26 Feb 2016
23,France,won,10.0,9.0,1.0,1,1,1,0,v Ireland,Stade de France,13 Feb 2016
24,France,won,23.0,21.0,2.0,3,1,2,0,v Italy,Stade de France,6 Feb 2016
25,France,lost,13.0,62.0,-49.0,1,1,2,0,v New Zealand,Millennium Stadium,17 Oct 2015
26,France,lost,9.0,24.0,-15.0,0,0,3,0,v Ireland,Millennium Stadium,11 Oct 2015
27,France,won,41.0,18.0,23.0,5,5,2,0,v Canada,Milton Keynes,1 Oct 2015
28,France,won,38.0,11.0,27.0,5,5,1,0,v Romania,London,23 Sep 2015
29,France,won,32.0,10.0,22.0,2,2,6,0,v Italy,Twickenham,19 Sep 2015
30,France,won,19.0,16.0,3.0,1,1,4,0,v Scotland,Stade de France,5 Sep 2015
31,France,won,25.0,20.0,5.0,1,1,6,0,v England,Stade de France,22 Aug 2015
32,France,lost,14.0,19.0,-5.0,1,0,3,0,v England,Twickenham,15 Aug 2015
33,France,lost,35.0,55.0,-20.0,5,2,2,0,v England,Twickenham,21 Mar 2015
34,France,won,29.0,0.0,29.0,2,2,5,0,v Italy,Rome,15 Mar 2015
35,France,lost,13.0,20.0,-7.0,1,1,2,0,v Wales,Stade de France,28 Feb 2015
